date,value
2010-01-27,0.000492053015532553
2010-02-12,0.0212158760793758
2010-02-21,0.0104797491784134
2010-03-16,0.0150732095015623
2010-03-25,0.0317221076660236
2010-04-01,0.0251280512812375
2010-04-10,0.0306361099180564
2010-05-12,0.107928747596047
2010-05-19,0.141218952537066
2010-06-04,0.199337971978749
2010-06-20,0.328898233424098
2010-06-29,0.0319632521242386
2010-07-06,0.230935920886634
2010-07-22,0.235691628812769
2010-08-16,0.323959711691587
2010-11-04,0.0582550325738648
2010-11-20,0.0181040026073859
2010-11-27,0.0314129751683311
2010-12-06,0.0481222816618759
2010-12-22,0.0155959203532658
2010-12-29,0.00365055020735688
2011-01-07,0.0240597232151155
2011-01-14,0.031791479952587
2011-01-23,0.0264695660592
2011-01-30,0.0252603078861587
2011-02-24,0.00691446993228675
2011-03-03,0.031487705445683
2011-03-28,0.0308193320022639
2011-04-04,0.0251585546225404
2011-05-06,0.0914629139336194
2011-05-15,0.161906707207445
2011-05-22,0.205942444218681
2011-08-03,0.47122732511219
2011-08-10,0.46163050042785
2011-09-04,0.392455784807864
2011-09-11,0.292625821324555
2011-09-20,0.293774744042821
2011-09-27,0.154623715930716
2011-10-06,0.252651569102333
2011-10-29,0.00350810549475169
2011-11-14,0.0300534498178066
2011-11-23,0.0425642271748408
2011-11-30,0.0177760468674908
2011-12-09,0.0388075678618053
2011-12-16,0.0554393702172788
2011-12-25,0.0326139431439627
2012-01-01,0.00286184445054373
2012-01-10,0.0237654331160601
2012-02-02,0.0266700194026087
2012-02-11,0.0281816985629185
2012-02-18,0.0264958915652915
2012-03-14,0.0312895101422861
2012-03-30,0.0248303093929355
2012-04-06,0.0355603842700945
2012-04-15,0.0318088799425696
2012-04-22,0.0146953818063986
2012-05-17,0.296920071839128
2012-05-24,0.320384076124583
2012-06-02,0.163128044359856
2012-06-09,0.125272183888112
2012-07-11,0.325147610106955
2012-08-12,0.402497489643443
2012-08-28,0.269817184362383
2012-09-13,0.344746768054162
2012-09-22,0.354364772624427
2012-09-29,0.366381952048751
2012-10-08,0.0531586231075529
2012-10-24,0.0945202940910352
2012-10-31,0.0779399345149459
2012-11-09,0.00205434170500072
2012-12-11,0.000790908720451796
2012-12-18,0.0298862462152071
2013-01-03,0.00370416890435383
2013-01-12,0.00622562304645004
2013-02-04,0.0197902095732336
2013-02-20,0.0122917863856121
2013-03-01,0.0346896747267955
2013-03-08,0.00694990412708188
2013-03-24,0.0209665234381113
2013-04-02,0.0213414787928302
2013-04-09,0.0273842678978923
2013-04-10,0.104199625518495
2013-04-17,0.0635448734197011
2013-04-18,0.0467114791808528
2013-04-25,0.0391193738083208
2013-04-26,0.083037796125336
2013-05-03,0.149110614546732
2013-05-04,0.0440185130659348
2013-05-11,0.119519217553251
2013-05-12,0.257048756573885
2013-05-19,0.20088172239305
2013-05-20,0.225115242406588
2013-06-12,0.293549575948735
2013-06-13,0.41450851137609
2013-07-06,0.554276634851089
2013-07-07,0.551244209302999
2013-07-23,0.561729850332716
2013-07-30,0.633173912337712
2013-07-31,0.657702698699555
2013-08-16,0.349476038580752
2013-08-23,0.595410772584425
2013-08-24,0.638519668860488
2013-08-31,0.487642344182797
2013-09-01,0.618785449716916
2013-09-09,0.359241979237809
2013-09-16,0.415935206191571
2013-09-24,0.252711635975566
2013-09-25,0.352060299572706
2013-10-02,0.248791111464832
2013-10-03,0.399725390470201
2013-10-10,0.305447262564651
2013-10-11,0.202072193575013
2013-10-19,0.132418902578447
2013-10-26,0.18899908867406
2013-10-27,0.02809725989341
2013-11-03,0.0837355065375075
2013-11-04,0.136915186858375
2013-11-11,0.101670324494532
2013-11-12,0.0642147695223665
2013-11-19,0.0432795537792076
2013-11-20,0.0887270137697751
2013-11-27,0.0926186608708865
2013-11-28,0.0541346344878118
2013-12-05,0.039949806481606
2013-12-06,0.201228643313892
2013-12-13,0.0772152913977706
2013-12-14,0.0302879521600283
2013-12-21,0.0227017883444361
2013-12-22,0.0566293544233748
2013-12-29,0.0783112156993314
2013-12-30,0.0443947828532139
2014-01-07,0.0499894151954576
2014-01-14,0.0644704456608594
2014-01-15,0.0412489454055326
2014-01-22,0.0387609775970045
2014-01-30,0.0495395883890001
2014-02-08,0.292138231258532
2014-03-04,0.0390801212872752
2014-03-20,0.0354588496342076
2014-03-28,0.0398986177395934
2014-04-04,0.0872322757236696
2014-04-05,0.0437076673184837
2014-04-12,0.0259972751436565
2014-04-13,0.0985854707551485
2014-04-20,0.333562653211814
2014-04-21,0.097551570173779
2014-04-28,0.116091247614806
2014-04-29,0.261409824267535
2014-05-06,0.244830449343029
2014-05-07,0.14757106698068
2014-05-15,0.31698564861736
2014-05-22,0.337014901139941
2014-05-30,0.14334075151497
2014-06-07,0.374406776590232
2014-06-15,0.0817006218076273
2014-06-16,0.220295734263838
2014-06-23,0.424890149904205
2014-07-10,0.357677908678368
2014-07-17,0.0377739045517912
2014-07-18,0.19578929285329
2014-07-25,0.453414524222714
2014-07-26,0.368819971172592
2014-08-02,0.303979034983054
2014-08-03,0.580370736634107
2014-08-10,0.572462735577301
2014-08-11,0.437131445395045
2014-08-18,0.421901891897698
2014-08-19,0.575654625967016
2014-08-26,0.520001267020537
2014-08-27,0.431590027078021
2014-09-03,0.506060102264137
2014-09-04,0.553299494152787
2014-09-19,0.26927456449792
2014-09-20,0.501844956166349
2014-09-27,0.420516566501631
2014-10-05,0.248673052936503
2014-10-06,0.389939608013875
2014-10-13,0.291728075481947
2014-10-14,0.173755453058547
2014-10-29,0.162029056576555
